                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7656,                 3.4791,                 1.7588,                0.36682,                0.58824,                0.53433,                0.28735,                 1.8778,                 4.3626,                 1.5758,                 0.0784,                 0.0024,                 0.0024
                      1,                  2.255,                 1.6116,                 1.5626,                 0.3796,                0.54024,                0.50045,                0.28791,                 1.9805,                  3.065,                 1.6436,               0.055803,               0.004803,               0.004803
                      2,                 2.0023,                 1.2305,                 1.4522,                0.60277,                0.58824,                0.64799,                0.26235,                  1.829,                 1.8601,                 1.5042,               0.033107,               0.007107,               0.007107
                      3,                 1.9385,                 1.2304,                 1.4081,                0.64937,                0.70588,                0.69095,                0.28174,                 2.0358,                 2.8732,                 1.6137,               0.010312,              0.0093119,              0.0093119
                      4,                 1.9648,                 1.2261,                 1.4281,                0.72444,                0.64706,                0.68286,                0.33452,                 1.9072,                 3.6781,                 1.6785,               0.009208,               0.009208,               0.009208
                      5,                 1.9515,                 1.1781,                 1.3756,                0.34335,                0.41176,                0.30569,                0.12455,                 2.1799,                 4.5906,                 1.7256,               0.009208,               0.009208,               0.009208
                      6,                 1.9276,                 1.2044,                 1.3612,                 0.7848,                0.70588,                0.78743,                0.37691,                 1.7733,                 2.1992,                 1.5341,                0.00901,                0.00901,                0.00901
                      7,                 1.8943,                  1.124,                  1.356,                0.92814,                0.76011,                0.89122,                0.38992,                  1.788,                 1.6714,                 1.4748,               0.008812,               0.008812,               0.008812
                      8,                 1.8795,                 1.1169,                 1.3473,                0.79053,                0.70588,                0.71252,                0.30182,                 2.1223,                 1.4595,                 1.7083,               0.008614,               0.008614,               0.008614
                      9,                 1.8805,                 1.0785,                 1.3226,                0.92282,                0.82353,                0.88061,                0.40102,                 1.8981,                 1.3227,                 1.4815,               0.008416,               0.008416,               0.008416
                     10,                  1.814,                 1.1501,                 1.3238,                 0.8547,                0.76471,                0.82159,                0.35785,                 2.1635,                 1.1368,                 1.8156,               0.008218,               0.008218,               0.008218
                     11,                 1.8535,                 1.0762,                 1.3214,                0.54476,                0.77464,                0.71684,                0.30185,                 2.1004,                 1.5036,                 1.7464,                0.00802,                0.00802,                0.00802
                     12,                 1.8388,                 1.0813,                  1.318,                 0.9214,                0.82353,                0.84157,                0.31783,                 2.0163,                   1.28,                 1.6578,               0.007822,               0.007822,               0.007822
                     13,                 1.7978,                 1.0766,                   1.29,                 0.8665,                0.76365,                0.76622,                0.38739,                 1.9295,                 1.3402,                  1.567,               0.007624,               0.007624,               0.007624
                     14,                 1.8083,                 1.0554,                 1.2977,                0.63872,                0.82353,                0.78454,                0.28242,                 2.3236,                 1.7087,                 1.8271,               0.007426,               0.007426,               0.007426
                     15,                 1.8234,                 1.0738,                 1.3261,                 0.9158,                0.82353,                0.88976,                 0.4405,                 1.8834,                 1.1237,                 1.5868,               0.007228,               0.007228,               0.007228
                     16,                 1.8021,                 1.0732,                 1.2932,                0.87996,                0.64706,                0.76024,                0.39927,                  1.988,                 1.3968,                 1.6086,                0.00703,                0.00703,                0.00703
                     17,                 1.7482,                 1.0019,                 1.2939,                0.98461,                0.82353,                0.88739,                  0.376,                 1.8843,                  1.173,                 1.5917,               0.006832,               0.006832,               0.006832
                     18,                 1.7099,                 1.0351,                 1.2708,                 0.8217,                0.88235,                0.86943,                0.45092,                 1.7282,                 1.2333,                 1.4762,               0.006634,               0.006634,               0.006634
                     19,                 1.7418,                 1.0065,                 1.2803,                0.93162,                0.82353,                0.84758,                0.39395,                  1.993,                 1.1902,                 1.6626,               0.006436,               0.006436,               0.006436
                     20,                 1.6803,                0.94968,                 1.2503,                0.86257,                0.88235,                 0.9004,                0.38251,                 2.1301,                0.98926,                 1.7712,               0.006238,               0.006238,               0.006238
                     21,                 1.5977,                0.93222,                 1.2384,                0.73289,                0.82353,                0.78571,                0.30499,                 2.1765,                 1.3457,                 1.8519,                0.00604,                0.00604,                0.00604
                     22,                 1.6585,                0.93355,                 1.2448,                0.88179,                0.88235,                0.88279,                 0.3919,                 2.0698,                 1.0627,                 1.6767,               0.005842,               0.005842,               0.005842
                     23,                 1.6892,                 0.9675,                 1.2691,                0.93207,                0.82353,                 0.8986,                0.44533,                 1.8773,                 1.1864,                 1.5859,               0.005644,               0.005644,               0.005644
                     24,                 1.6348,                0.94015,                 1.2414,                0.93159,                0.80196,                0.87715,                0.42965,                 1.8618,                 1.0716,                 1.5481,               0.005446,               0.005446,               0.005446
                     25,                 1.6137,                 0.9304,                 1.2228,                0.97131,                0.88235,                0.90592,                0.46394,                 1.9018,                 1.0185,                 1.5935,               0.005248,               0.005248,               0.005248
                     26,                 1.6245,                0.93228,                 1.2451,                0.85427,                0.76471,                0.81171,                0.35218,                 2.1697,                 1.2422,                 1.7657,                0.00505,                0.00505,                0.00505
                     27,                 1.5958,                0.93645,                 1.2272,                0.98031,                0.88235,                0.91453,                0.44013,                 1.8581,                0.97887,                 1.5566,               0.004852,               0.004852,               0.004852
                     28,                 1.5949,                0.90675,                 1.2293,                0.97968,                0.94118,                0.96167,                0.42462,                 2.0872,                0.96324,                 1.6639,               0.004654,               0.004654,               0.004654
                     29,                 1.5521,                0.90486,                 1.2138,                0.88446,                0.70588,                0.81741,                0.35715,                  1.989,                 1.1382,                 1.6223,               0.004456,               0.004456,               0.004456
                     30,                 1.5755,                0.90441,                 1.1915,                0.69996,                0.82353,                0.71419,                0.33922,                 2.0572,                 1.2837,                 1.6736,               0.004258,               0.004258,               0.004258
                     31,                 1.5867,                0.90626,                 1.2176,                0.93725,                0.76471,                 0.8361,                0.31311,                 2.2656,                 1.2345,                 1.8087,                0.00406,                0.00406,                0.00406
                     32,                 1.5278,                0.84627,                  1.194,                0.86488,                0.75368,                0.85113,                0.39382,                 1.9117,                0.89305,                 1.5981,               0.003862,               0.003862,               0.003862
                     33,                 1.5993,                0.98123,                 1.2564,                0.84883,                0.70588,                0.82582,                 0.3947,                 1.9988,                 1.0084,                 1.6079,               0.003664,               0.003664,               0.003664
                     34,                 1.5478,                0.84639,                 1.2237,                0.86758,                0.77113,                0.87905,                0.40914,                 1.8499,                 1.1064,                  1.523,               0.003466,               0.003466,               0.003466
                     35,                 1.5023,                0.83768,                 1.1914,                0.82744,                0.88235,                0.90017,                0.41089,                 1.8678,                 1.0195,                 1.5768,               0.003268,               0.003268,               0.003268
                     36,                 1.4194,                0.80789,                 1.1599,                0.94511,                0.64706,                0.78748,                0.33466,                 2.1264,                 1.1625,                 1.7194,                0.00307,                0.00307,                0.00307
                     37,                 1.4536,                0.81712,                 1.1649,                0.87074,                0.76471,                 0.8494,                0.38184,                 2.0809,                0.97646,                 1.7143,               0.002872,               0.002872,               0.002872
                     38,                 1.4456,                0.79629,                 1.1602,                0.92816,                0.82353,                0.89205,                0.40898,                 1.9692,                  1.026,                  1.664,               0.002674,               0.002674,               0.002674
                     39,                 1.3933,                0.81733,                 1.1839,                0.90952,                0.76471,                0.83666,                0.31097,                 2.1481,                 1.0577,                 1.7363,               0.002476,               0.002476,               0.002476
                     40,                 1.2955,                0.76896,                 1.2003,                 0.9172,                0.82353,                0.81554,                0.40384,                 2.0916,                0.86827,                 1.8382,               0.002278,               0.002278,               0.002278
                     41,                 1.2659,                 0.6681,                 1.1613,                 0.9912,                0.88235,                0.93032,                0.40604,                 1.8679,                0.96822,                 1.6705,                0.00208,                0.00208,                0.00208
                     42,                 1.2046,                0.65605,                 1.1493,                0.93715,                0.88235,                0.88626,                0.41209,                 1.8879,                0.99593,                 1.6867,               0.001882,               0.001882,               0.001882
                     43,                 1.1381,                0.63232,                 1.1391,                0.98786,                0.88235,                0.89292,                0.43639,                 1.9375,                 1.0298,                 1.6939,               0.001684,               0.001684,               0.001684
                     44,                 1.1753,                0.62877,                  1.132,                0.90482,                0.88235,                0.88619,                0.47742,                 1.8633,                  0.959,                 1.6103,               0.001486,               0.001486,               0.001486
                     45,                 1.1811,                0.64071,                 1.1291,                 0.9085,                0.82353,                0.82173,                0.45481,                 1.8739,                0.91893,                 1.6593,               0.001288,               0.001288,               0.001288
                     46,                 1.1313,                0.62509,                 1.1238,                0.90279,                0.82353,                0.81325,                0.43307,                  1.909,                0.88132,                 1.6842,                0.00109,                0.00109,                0.00109
                     47,                   1.09,                0.58063,                 1.1036,                0.91237,                0.82353,                0.83984,                 0.4396,                 1.9257,                0.84396,                 1.6977,               0.000892,               0.000892,               0.000892
                     48,                 1.1147,                0.58191,                 1.1174,                0.91548,                0.82353,                0.86016,                 0.4109,                 1.9233,                0.79514,                 1.6765,               0.000694,               0.000694,               0.000694
                     49,                 1.1087,                0.58524,                  1.109,                 0.8902,                0.76471,                0.82813,                0.45311,                 1.8274,                0.78096,                 1.6112,               0.000496,               0.000496,               0.000496
