                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   2.22,                 2.5546,                 1.8605,                0.48313,                0.47059,                0.48333,                0.25098,                 1.7389,                 3.3952,                 1.6346,                 0.0784,                 0.0024,                 0.0024
                      1,                 1.8972,                 1.4811,                 1.6695,                0.75559,                0.52941,                0.62379,                0.30995,                 1.8699,                  2.509,                 1.6584,               0.055738,              0.0047383,              0.0047383
                      2,                 1.7014,                 1.3106,                 1.5371,                0.87361,                0.88235,                0.94874,                0.44781,                 1.8964,                 1.1514,                 1.5539,               0.032912,              0.0069116,              0.0069116
                      3,                 1.6569,                 1.2892,                 1.4789,                0.84007,                0.70588,                0.74691,                0.36163,                 1.8723,                 1.5965,                 1.6251,              0.0099199,              0.0089199,              0.0089199
                      4,                 1.6888,                 1.2987,                 1.4773,                0.80942,                0.82353,                0.78388,                 0.3119,                 2.1754,                 1.5421,                 2.0069,                0.00868,                0.00868,                0.00868
                      5,                 1.5871,                 1.2018,                 1.4071,                0.92301,                0.82353,                0.83962,                0.34653,                 1.9734,                 1.1739,                  1.886,                0.00868,                0.00868,                0.00868
                      6,                  1.583,                 1.1591,                 1.4148,                0.92228,                0.69854,                0.79232,                0.29442,                 2.0627,                 1.2166,                 1.9397,                0.00835,                0.00835,                0.00835
                      7,                  1.593,                 1.1335,                 1.3986,                0.73846,                0.66515,                0.68308,                0.31006,                 1.8107,                 1.9283,                 1.6765,                0.00802,                0.00802,                0.00802
                      8,                 1.5326,                  1.108,                 1.3667,                0.73511,                0.81657,                0.70095,                0.31531,                 1.8899,                 1.7343,                  1.766,                0.00769,                0.00769,                0.00769
                      9,                 1.5074,                 1.0604,                 1.3404,                0.82229,                0.88235,                0.85771,                0.34289,                 1.9132,                 1.2106,                  1.755,                0.00736,                0.00736,                0.00736
                     10,                 1.4998,                 1.0759,                  1.353,                0.78215,                0.76471,                0.76827,                0.42357,                 1.9575,                 1.0625,                 1.6808,                0.00703,                0.00703,                0.00703
                     11,                 1.4944,                 1.0652,                 1.3609,                0.79835,                0.76471,                0.76311,                0.30572,                 1.9604,                 1.3805,                 1.7887,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.4742,                 1.0402,                 1.3462,                0.83333,                0.88232,                0.81505,                0.34884,                 1.9408,                 1.2239,                 1.8086,                0.00637,                0.00637,                0.00637
                     13,                 1.4137,                0.98411,                  1.292,                0.93147,                0.88235,                0.88306,                0.46852,                 1.8814,                 1.0224,                 1.6824,                0.00604,                0.00604,                0.00604
                     14,                 1.4673,                0.97151,                 1.3187,                 0.9848,                0.88235,                0.94357,                0.44752,                 1.7995,                 1.0104,                 1.6145,                0.00571,                0.00571,                0.00571
                     15,                 1.4421,                0.98666,                  1.322,                0.98787,                0.88235,                0.90692,                0.43073,                 1.7961,                0.88497,                 1.5814,                0.00538,                0.00538,                0.00538
                     16,                 1.3635,                 0.9601,                 1.2891,                0.78498,                0.94118,                0.90877,                0.47867,                 1.8696,                0.87065,                 1.5907,                0.00505,                0.00505,                0.00505
                     17,                 1.3568,                0.90544,                 1.2897,                0.91863,                0.82353,                0.87755,                0.44629,                 2.0086,                0.80459,                 1.6859,                0.00472,                0.00472,                0.00472
                     18,                 1.3496,                0.89298,                 1.2799,                0.97542,                0.88235,                0.88766,                0.49588,                 1.6027,                0.77066,                 1.4617,                0.00439,                0.00439,                0.00439
                     19,                 1.3315,                0.87512,                 1.2628,                0.87805,                0.82353,                0.79961,                0.41323,                 1.8707,                 0.8275,                 1.6409,                0.00406,                0.00406,                0.00406
                     20,                 1.1652,                0.69701,                 1.2096,                  0.873,                0.82353,                 0.8542,                 0.4442,                 1.8207,                0.79745,                 1.6389,                0.00373,                0.00373,                0.00373
                     21,                  1.141,                0.59451,                 1.1873,                0.87124,                0.88235,                0.91898,                0.41891,                 2.1006,                0.82304,                 1.8625,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.0658,                0.56387,                 1.1594,                0.93151,                0.88235,                0.87991,                0.36472,                 2.0497,                 1.0316,                 1.7151,                0.00307,                0.00307,                0.00307
                     23,                 1.0119,                 0.5226,                 1.1169,                0.90544,                0.76471,                0.84633,                0.41209,                 1.9376,                0.83984,                 1.7444,                0.00274,                0.00274,                0.00274
                     24,                 1.0041,                0.52892,                 1.1406,                0.90619,                0.70588,                0.82885,                0.40735,                 1.8941,                0.97642,                 1.6889,                0.00241,                0.00241,                0.00241
                     25,                 0.9474,                0.48472,                 1.1008,                0.89003,                0.64706,                0.79829,                 0.3985,                 1.9903,                0.96867,                 1.7287,                0.00208,                0.00208,                0.00208
                     26,                0.92385,                0.47845,                 1.0664,                0.92769,                0.82353,                0.85264,                0.42878,                 1.8841,                 0.8861,                 1.6882,                0.00175,                0.00175,                0.00175
                     27,                 0.9047,                0.46887,                 1.0548,                0.93206,                0.80782,                0.85064,                0.45272,                 1.7831,                0.84646,                 1.6538,                0.00142,                0.00142,                0.00142
                     28,                0.87335,                0.44628,                 1.0346,                0.92315,                0.76471,                 0.8652,                0.47376,                  1.731,                0.80872,                 1.6374,                0.00109,                0.00109,                0.00109
                     29,                0.84875,                 0.4617,                 1.0417,                0.91991,                0.82353,                0.86953,                0.48572,                 1.8686,                0.73554,                 1.7057,                0.00076,                0.00076,                0.00076
